"","x"
"1","law force evidence whirley making"
"2","gun hand he's put facing"
"3","evidence item found envelope casings"
"4","grand jury video wilson reporting"
"5","correct august ecc ma'am body"
"6","that's told talk head today"
"7","weapon case bullet electronically signed"
"8","don't fff apartments correct turn"
"9","uh-huh window i'm officers gunshots"
"10","day whirley truth exhibit jurors"
"11","electronically signed hands time kind"
"12","marijuana lab evidence receipt people"
"13","reporting yeah indicating turned looked"
"14","jury didn't day talking basically"
"15","i'm feel happened good i've"
"16","ma'am correct ferguson jury incident"
"17","gunshot head caused eye range"
"18","video grand fax kind make"
"19","volume jury correct case made"
"20","jury alizadeh number recording recorded"
"21","weapon detective department duty belt"
"22","blood marijuana doctor question bleeding"
"23","image number darren missouri state"
"24","channel radio calls officer dispatch"
"25","police time ferguson f-aa b-d"
"26","mike grand big fax officer"
"27","suspect that's nurse department arrest"
"28","dna profile brown mixture michael"
"29","hear ma'am dispatcher jury number"
"30","don't back made left wanted"
"31","correct patient pain person redness"
"32","building point witnesses portion location"
"33","officer training ma'am police field"
"34","guy reporting volume talking heard"
"35","report information find findings reports"
"36","remember directions parking home figure"
"37","wilson darren reporting state missouri"
"38","fae-ac thought talked walking michael"
"39","balcony phone view part arm"
"40","window room living bedroom street"
"41","i'm don't friend standing ma'am"
"42","didn't don't asked you've correct"
"43","d-a hands grand wilson state"
"44","xxiii that's shot opinion lot"
"45","officer that's turned facing feet"
"46","vehicle door side jury car"
"47","prints fingerprint print latent lifts"
"48","fda wilson hand electronically signed"
"49","chief question officer robbery information"
"50","wound jury correct bullet wounds"
"51","car police kind point wasn't"
"52","louis county marked date fact"
"53","car back running police shot"
"54","scene crime investigation detective detectives"
"55","xix state trace tested sample"
"56","people day sir days talking"
"57","clip i'm interview shooting playing"
"58","back wound side arm body"
"59","yeah bbb electronically signed jury"
"60","statement play minutes break playing"
"61","interview correct investigation interviewed made"
"62","fax volume questions transcript charges"
"63","time back working kind truck"
"64","things lot high memory school"
"65","force officers whirley training taser"
"66","blood dna swab whirley area"
"67","stop based cruiser sister dad"
"68","call canfield sergeant send supervisor"
"69","read august racist black journal"
"70","darren state video i'm volume"
"71","officer brown jury wilson volume"
"72","detective witness urn redacted number"
"73","that's don't we're talk heard"
"74","riot that's county state talk"
"75","i'm police electronically signed correct"
"76","tissue skin hand soot barrel"
"77","signed electronically person minutes stuff"
"78","alizadeh shirt back left pants"
"79","firearm cartridge grand trigger live"
"80","number i'm that's photographs put"
"81","face whirley red area injury"
"82","alizadeh whirley time people incident"
"83","that's determine process lab let's"
"84","don't house honestly stuff called"
"85","wilson reporting darren missouri state"
"86","point street direction moving distance"
"87","urine present based toxicology drugs"
"88","shot i'm shooting he's car"
"89","cfbddf electronically signed kind part"
"90","hearing ocf cba-a afcc volume"
"91","didn't that's time lot back"
"92","thc blood marijuana test delta"
"93","he's officer correct that's playing"
"94","autopsy body medical examiner examiner's"
"95","canfield apartment complex front drive"
"96","walking side street vehicle boys"
"97","volume reporting yeah missouri darren"
"98","ma'am time feet dreads mirror"
"99","statements witnesses case week made"
"100","grand jury police shooting video"
