"","x"
"1","report experience based blood findings"
"2","indicating drive distance left east"
"3","clip played clips seconds dorian"
"4","canfield west florissant complex area"
"5","medical information examiner i'm death"
"6","detectives unit sir squad crimes"
"7","house sister mom close honestly"
"8","officer big i'm shooting f-aa"
"9","door kind hear question heard"
"10","don't remember didn't lot turned"
"11","fae-ac didn't officers michael electronically"
"12","tone dead talk uh-huh hit"
"13","marijuana drug drugs substance thc"
"14","patient pain face nurse injury"
"15","weapon gun darren detective back"
"16","county louis department present received"
"17","video palms facing detective correct"
"18","car area asked thought threat"
"19","correct that's photograph number people"
"20","alizadeh statement i'm number hear"
"21","yeah window that's time kind"
"22","don't questions witness court heard"
"23","thing things guy that's made"
"24","i'm left make talking we're"
"25","channel radio dispatch ferguson dispatcher"
"26","dna that's profile swab swabs"
"27","force question arrest whirley deadly"
"28","alizadeh don't whirley guess years"
"29","alizadeh torso happening police threat"
"30","phone front balcony remember facing"
"31","don't yeah you're back understand"
"32","car bleeding clothing powder toxicology"
"33","wilson hospital subject room hands"
"34","shooting ground fell shoot fall"
"35","grand jury shooting reporting ferguson"
"36","call officer calls correct hear"
"37","officer scene occurred control supervisor"
"38","police correct investigation department ferguson"
"39","based you're lot that's give"
"40","fff back meet room investigator"
"41","time rear mirror attention dreads"
"42","mike friend brown uh-huh tussling"
"43","detective witness urn redacted he's"
"44","hand things dirt corner jurors"
"45","blood test sample testing samples"
"46","xxiii correct mixture there's determine"
"47","people person point you're give"
"48","whirley correct a-b made make"
"49","hearing ocf cba-a afcc ma'am"
"50","hands officer d-a grand jury"
"51","number image side photograph back"
"52","view vehicle scale door area"
"53","i'm he's i've clear hearing"
"54","building apartment canfield point buildings"
"55","fbi witness video probable law"
"56","ma'am move figure sir knowledge"
"57","tissue skin kind range michael"
"58","evidence crime scene video state"
"59","people day shot wasn't talking"
"60","correct describe determine you've talked"
"61","bbb urn recording ran past"
"62","signed electronically i'm uh-huh call"
"63","wilson grand darren jury video"
"64","wound grand jury reporting video"
"65","lot don't put that's it's"
"66","signed electronically that's point side"
"67","chief ecc question information state"
"68","prints fingerprint print latent check"
"69","wilson shot video volume fax"
"70","report august kind case body"
"71","car police side i'm vehicle"
"72","brown michael interview brown's didn't"
"73","xix alizadeh blood whirley brown"
"74","firearm cartridge case bullet fire"
"75","i'm knees face remember side"
"76","back remember coming head pull"
"77","mike brown point body hear"
"78","witness make statements recorded made"
"79","walking street apartment talking boys"
"80","gun hand blood left shot"
"81","autopsy body forensic office autopsies"
"82","officer reporting grand michael state"
"83","body injury skin injuries hand"
"84","window uh-huh apartment state bedroom"
"85","scene crime tape ma'am put"
"86","fda electronically signed call vehicle"
"87","didn't told happened talk talked"
"88","day working minutes talked conversation"
"89","thing boy glass arm policeman"
"90","video back wilson darren jury"
"91","state whirley that's louis county"
"92","grand jury police time ferguson"
"93","thc delta affects xix level"
"94","august read memory black racist"
"95","basically weight note explain individual"
"96","cfbddf kind that's electronically signed"
"97","grand jury video wilson reporting"
"98","officers sector frank alizadeh car"
"99","officer training police community jennings"
"100","mike dorian head house morning"
